country,location_name,latitude,longitude,last_updated,temperature_celsius,humidity,precip_mm,wind_kph,condition_text,uv_index,year,month,month_name
India,New Delhi,28.6,77.2,2024-05-16 14:15:00,42.0,13,0.0,11.2,Mist,10.0,2024,5,May
Indonesia,Jakarta,-6.21,106.85,2024-05-16 15:45:00,32.0,63,0.02,24.1,Partly cloudy,8.0,2024,5,May
Iran,Tehran,35.73,51.33,2024-05-16 12:15:00,24.0,25,0.0,19.1,Partly cloudy,6.0,2024,5,May
Iraq,Baghdad,33.34,44.39,2024-05-16 11:45:00,33.0,17,0.0,22.0,Partly cloudy,8.0,2024,5,May
Ireland,Dublin,53.33,-6.25,2024-05-16 09:45:00,14.0,94,0.0,6.8,Mist,5.0,2024,5,May
Israel,Jerusalem,31.78,35.23,2024-05-16 11:45:00,25.0,54,0.0,13.0,Partly cloudy,6.0,2024,5,May
Italy,Rome,41.9,12.48,2024-05-16 10:45:00,24.0,57,0.0,3.6,Sunny,7.0,2024,5,May
Jamaica,Norman Gardens,17.97,-76.75,2024-05-16 03:45:00,21.9,84,0.1,3.6,Patchy rain nearby,1.0,2024,5,May
Japan,Tokyo,35.69,139.69,2024-05-16 17:45:00,24.0,47,0.0,33.1,Partly cloudy,6.0,2024,5,May
Jordan,Amman,31.95,35.93,2024-05-16 11:45:00,23.0,29,0.0,15.1,Mist,6.0,2024,5,May
Kazakhstan,Astana,51.18,71.43,2024-05-16 13:45:00,16.0,34,0.0,22.0,Sunny,5.0,2024,5,May
Kenya,Nairobi,-1.28,36.82,2024-05-16 11:45:00,23.0,61,0.06,3.6,Partly cloudy,6.0,2024,5,May
Kiribati,Tarawa,-0.88,169.53,2024-05-16 20:45:00,28.8,75,0.0,19.8,Cloudy,1.0,2024,5,May
Kuwait,Kuwait City,29.37,47.96,2024-05-16 11:45:00,30.4,44,0.0,28.1,Partly cloudy,8.0,2024,5,May
Kyrghyzstan,Bishkek,42.87,74.6,2024-05-16 14:45:00,22.5,59,0.05,13.0,Patchy rain nearby,5.0,2024,5,May
Indonesia,Laos,-8.18,114.32,2024-05-16 15:45:00,28.0,74,0.03,9.0,Patchy rain nearby,7.0,2024,5,May
Latvia,Riga,56.95,24.1,2024-05-16 11:45:00,17.0,48,0.0,9.0,Sunny,5.0,2024,5,May
Lebanon,Beirut,33.87,35.51,2024-05-16 11:45:00,22.0,65,0.0,9.0,Partly cloudy,6.0,2024,5,May
Lesotho,Maseru,-29.32,27.48,2024-05-16 10:45:00,18.0,52,0.0,3.6,Sunny,7.0,2024,5,May
Liberia,Monrovia,6.31,-10.8,2024-05-16 08:45:00,26.0,94,0.0,3.6,Partly cloudy,7.0,2024,5,May
Thailand,Nan,18.78,100.78,2024-05-16 15:45:00,33.0,63,0.0,11.2,Patchy light rain with thunder,9.0,2024,5,May
Liechtenstein,Vaduz,47.13,9.52,2024-05-16 10:45:00,15.0,72,0.0,9.0,Partly cloudy,4.0,2024,5,May
Lithuania,Vilnius,54.68,25.32,2024-05-16 11:45:00,17.0,39,0.0,13.0,Sunny,5.0,2024,5,May
Luxembourg,Luxembourg,49.61,6.13,2024-05-16 10:45:00,14.0,88,0.31,16.9,Partly cloudy,3.0,2024,5,May
Madagascar,Antananarivo,-18.92,47.52,2024-05-16 11:45:00,22.0,53,0.0,25.9,Partly cloudy,6.0,2024,5,May
Malawi,Lilongwe,-13.98,33.78,2024-05-16 10:45:00,21.0,64,0.0,13.0,Partly cloudy,7.0,2024,5,May
Malaysia,Kuala Lumpur,3.17,101.7,2024-05-16 16:45:00,29.0,84,1.86,11.2,Partly cloudy,6.0,2024,5,May
Maldives,Felidhoo,3.48,73.53,2024-05-16 13:45:00,29.5,76,0.04,21.6,Patchy rain nearby,6.0,2024,5,May
Mali,Bamako,12.65,-8.0,2024-05-16 08:45:00,27.0,74,0.0,6.8,Sunny,7.0,2024,5,May
Malta,Valletta,35.9,14.51,2024-05-16 10:45:00,28.0,45,0.0,15.1,Sunny,6.0,2024,5,May
Marshall Islands,Majuro,7.1,171.38,2024-05-16 20:45:00,29.0,79,0.27,11.2,Partly cloudy,1.0,2024,5,May
Mauritania,Nouakchott,18.09,-15.98,2024-05-16 08:45:00,19.5,79,0.0,17.6,Sunny,5.0,2024,5,May
Mauritius,Port Louis,-20.16,57.5,2024-05-16 12:45:00,24.0,83,0.14,25.9,Overcast,6.0,2024,5,May
Mexico,Mexico City,19.43,-99.13,2024-05-16 02:45:00,20.8,47,0.0,10.8,Clear,1.0,2024,5,May
Micronesia,Palikir,6.92,158.15,2024-05-16 19:45:00,27.0,89,0.7,3.6,Overcast,1.0,2024,5,May
Iran,Chi Chi Khvar,36.26,46.59,2024-05-16 12:15:00,15.9,34,0.0,23.4,Thundery outbreaks in nearby,4.0,2024,5,May
Monaco,Monaco,43.73,7.42,2024-05-16 10:45:00,16.0,82,0.37,20.2,Partly cloudy,4.0,2024,5,May
Mongolia,Ulaanbaatar,47.92,106.92,2024-05-16 16:45:00,27.0,17,0.0,22.0,Sunny,5.0,2024,5,May
Montenegro,Podgorica,42.44,19.26,2024-05-16 10:45:00,16.0,88,0.34,3.6,Partly cloudy,5.0,2024,5,May
Morocco,Rabat,34.03,-6.84,2024-05-16 09:45:00,18.0,60,0.0,9.0,Partly cloudy,5.0,2024,5,May
Mozambique,Maputo,-25.97,32.59,2024-05-16 10:45:00,24.0,65,0.0,9.0,Partly cloudy,7.0,2024,5,May
Myanmar,Pathein,16.78,94.73,2024-05-16 15:15:00,37.5,36,0.0,24.1,Sunny,9.0,2024,5,May
Namibia,Windhoek,-22.57,17.08,2024-05-16 10:45:00,20.0,40,0.0,11.2,Sunny,7.0,2024,5,May
Turkey,Yaren,39.55,27.62,2024-05-16 11:45:00,18.0,56,0.0,3.6,Sunny,5.0,2024,5,May
Nepal,Kathmandu,27.72,85.32,2024-05-16 14:30:00,29.0,48,0.0,19.1,Light rain,8.0,2024,5,May
Netherlands,Amsterdam,52.37,4.89,2024-05-16 10:45:00,16.0,94,0.71,6.8,Partly cloudy,4.0,2024,5,May
New Zealand,Wellington,-41.3,174.78,2024-05-16 20:45:00,13.0,77,0.01,37.1,Partly cloudy,1.0,2024,5,May
Nicaragua,Managua,12.15,-86.27,2024-05-16 02:45:00,27.2,80,0.01,5.8,Patchy rain nearby,1.0,2024,5,May
Niger,Niamey,13.52,2.12,2024-05-16 09:45:00,33.0,36,0.0,20.2,Sunny,8.0,2024,5,May
Nigeria,Abuja,9.18,7.18,2024-05-16 09:45:00,29.2,67,0.0,7.2,Partly Cloudy,7.0,2024,5,May
North Korea,Pyongyang,39.02,125.75,2024-05-16 17:45:00,19.0,27,0.0,18.4,Sunny,5.0,2024,5,May
Macedonia,Skopje,42.0,21.43,2024-05-16 10:45:00,13.0,88,0.1,3.6,Moderate rain,3.0,2024,5,May
Norway,Oslo,59.92,10.75,2024-05-16 10:45:00,18.0,49,0.0,13.0,Sunny,5.0,2024,5,May
Oman,Muscat,23.61,58.59,2024-05-16 12:45:00,33.0,56,0.0,19.1,Sunny,8.0,2024,5,May
Pakistan,Islamabad,33.7,73.17,2024-05-16 13:45:00,38.2,15,0.0,11.9,Sunny,9.0,2024,5,May
Palau,Meyungs,7.35,134.45,2024-05-16 17:45:00,31.0,75,0.01,11.2,Partly cloudy,1.0,2024,5,May
Bolivia,National,-11.18,-67.08,2024-05-16 04:45:00,17.4,83,0.0,3.6,Clear,1.0,2024,5,May
Panama,Panama City,8.97,-79.53,2024-05-16 03:45:00,26.0,94,0.06,3.6,Overcast,1.0,2024,5,May
Papua New Guinea,Port Moresby,-9.46,147.19,2024-05-16 18:45:00,26.2,90,1.79,15.8,Light rain shower,1.0,2024,5,May
Paraguay,Pasto,-19.45,-61.15,2024-05-16 04:45:00,14.1,79,0.0,11.2,Clear,1.0,2024,5,May
Peru,Lima,-12.05,-77.05,2024-05-16 03:45:00,16.6,89,0.0,11.9,Partly Cloudy,1.0,2024,5,May
Philippines,Manila,14.6,120.98,2024-05-16 16:45:00,35.0,56,0.0,3.6,Partly cloudy,8.0,2024,5,May
Poland,Warsaw,52.25,21.0,2024-05-16 10:45:00,18.0,34,0.0,31.0,Sunny,5.0,2024,5,May
Portugal,Lisbon,38.72,-9.13,2024-05-16 09:45:00,16.0,77,0.01,11.2,Partly cloudy,4.0,2024,5,May
Qatar,Doha,25.29,51.53,2024-05-16 11:45:00,37.0,37,0.0,19.1,Sunny,9.0,2024,5,May
Romania,Bucharest,44.43,26.1,2024-05-16 11:45:00,18.0,26,0.0,19.1,Sunny,5.0,2024,5,May
Russia,Moscow,55.75,37.62,2024-05-16 11:45:00,18.0,42,0.0,19.1,Sunny,4.0,2024,5,May
Rwanda,Kigali,-1.95,30.06,2024-05-16 10:45:00,25.0,61,0.79,9.0,Partly cloudy,6.0,2024,5,May
Saint Kitts And Nevis,Basseterre,17.3,-62.72,2024-05-16 04:45:00,27.0,79,0.0,13.0,Clear,1.0,2024,5,May
Saint Lucia,Castries,14.0,-61.0,2024-05-16 04:45:00,28.0,84,0.06,20.2,Partly cloudy,1.0,2024,5,May
Saint Vincent And The Grenadines,Kingstown,13.13,-61.22,2024-05-16 04:45:00,28.0,84,0.01,20.2,Partly cloudy,1.0,2024,5,May
Samoa,Apia,-13.83,-171.73,2024-05-16 21:45:00,26.0,94,0.79,6.1,Partly cloudy,1.0,2024,5,May
San Marino,San Marino,43.93,12.45,2024-05-16 10:45:00,18.0,88,0.6,3.6,Overcast,4.0,2024,5,May
Belgium,'S Gravenstaffel,50.88,2.98,2024-05-16 10:45:00,14.0,94,0.03,13.0,Light rain,3.0,2024,5,May
Saudi Arabia,Riyadh,24.64,46.77,2024-05-16 11:45:00,39.0,7,0.0,15.1,Sunny,9.0,2024,5,May
Senegal,Dakar,14.67,-17.44,2024-05-16 08:45:00,22.0,78,0.0,11.2,Partly cloudy,6.0,2024,5,May
Serbia,Belgrade,44.8,20.47,2024-05-16 10:45:00,19.0,56,0.0,41.0,Sunny,5.0,2024,5,May
Seychelles Islands,Victoria,-4.62,55.45,2024-05-16 12:45:00,27.0,89,0.35,20.2,Light rain,7.0,2024,5,May
Sierra Leone,Freetown,8.49,-13.23,2024-05-16 08:45:00,27.4,79,0.0,3.6,Partly Cloudy,7.0,2024,5,May
Singapore,Singapore,1.29,103.86,2024-05-16 16:45:00,26.0,89,1.75,4.0,Partly cloudy,6.0,2024,5,May
Slovakia,Bratislava,48.15,17.12,2024-05-16 10:45:00,17.0,55,0.0,25.9,Partly cloudy,4.0,2024,5,May
Slovenia,Ljubljana,46.06,14.51,2024-05-16 10:45:00,16.0,82,0.06,16.9,Partly cloudy,3.0,2024,5,May
Solomon Islands,Honiara,-9.43,159.95,2024-05-16 19:45:00,26.9,87,0.09,15.8,Patchy rain nearby,1.0,2024,5,May
Somalia,Mogadishu,2.07,45.37,2024-05-16 11:45:00,30.0,89,0.0,22.0,Partly cloudy,7.0,2024,5,May
South Africa,Pretoria,-25.75,28.19,2024-05-16 10:45:00,20.0,35,0.0,6.1,Sunny,7.0,2024,5,May
South Korea,Seoul,37.57,127.0,2024-05-16 17:45:00,19.0,35,0.0,15.1,Sunny,5.0,2024,5,May
Sudan,Juba,12.15,24.45,2024-05-16 10:45:00,30.3,10,0.0,33.1,Sunny,8.0,2024,5,May
Spain,Madrid,40.4,-3.68,2024-05-16 10:45:00,14.0,47,0.0,19.1,Sunny,4.0,2024,5,May
Sri Lanka,Colombo,6.93,79.85,2024-05-16 14:15:00,26.0,94,1.01,6.1,Moderate or heavy rain with thunder,6.0,2024,5,May
Sudan,Khartoum,15.59,32.53,2024-05-16 10:45:00,32.5,10,0.0,25.2,Sunny,8.0,2024,5,May
Suriname,Paramaribo,5.83,-55.17,2024-05-16 05:45:00,24.4,96,0.0,7.6,Mist,1.0,2024,5,May
Sweden,Stockholm,59.33,18.05,2024-05-16 10:45:00,20.0,40,0.0,11.2,Sunny,5.0,2024,5,May
Switzerland,Bern,46.92,7.47,2024-05-16 10:45:00,14.0,82,0.13,3.6,Partly cloudy,3.0,2024,5,May
Syria,Damascus,33.5,36.3,2024-05-16 11:45:00,24.0,31,0.0,3.6,Sunny,6.0,2024,5,May
Tajikistan,Dushanbe,38.56,68.77,2024-05-16 13:45:00,29.0,37,0.05,3.6,Partly cloudy,6.0,2024,5,May
Tanzania,Dodoma,-6.18,35.75,2024-05-16 11:45:00,25.0,57,0.0,19.1,Partly cloudy,8.0,2024,5,May
Thailand,Bangkok,13.75,100.52,2024-05-16 15:45:00,31.0,75,0.11,15.1,Partly cloudy,8.0,2024,5,May
Timor-Leste,Dili,-8.56,125.57,2024-05-16 17:45:00,28.0,77,0.03,14.4,Patchy rain nearby,7.0,2024,5,May
Bulgaria,Lom,43.81,23.24,2024-05-16 11:45:00,19.0,43,0.0,29.9,Sunny,4.0,2024,5,May
Tonga,Nuku`Aloia,-21.13,-175.2,2024-05-16 21:45:00,23.0,100,2.09,33.1,Moderate rain,1.0,2024,5,May
Trinidad And Tobago,Port Of Spain,10.65,-61.52,2024-05-16 04:45:00,26.0,89,0.03,3.6,Partly cloudy,1.0,2024,5,May
Tunisia,Tunis,36.8,10.18,2024-05-16 09:45:00,24.0,57,0.0,19.1,Partly cloudy,6.0,2024,5,May
Turkey,Ankara,39.93,32.86,2024-05-16 11:45:00,16.0,45,0.02,13.0,Partly cloudy,4.0,2024,5,May
Turkmenistan,Ashgabat,37.95,58.38,2024-05-16 13:45:00,23.0,69,0.02,6.8,Partly cloudy,5.0,2024,5,May
Tuvalu,Funafuti,-8.52,179.22,2024-05-16 20:45:00,26.0,100,2.0,20.2,Moderate rain at times,1.0,2024,5,May
Uganda,Kampala,0.32,32.57,2024-05-16 11:45:00,25.7,60,0.02,3.6,Patchy rain nearby,6.0,2024,5,May
Ukraine,Kyiv,50.43,30.52,2024-05-16 11:45:00,13.8,53,0.25,13.0,Patchy rain nearby,3.0,2024,5,May
United Arab Emirates,Abu Dhabi,24.47,54.37,2024-05-16 12:45:00,39.0,19,0.0,11.2,Sunny,8.0,2024,5,May
United Kingdom,London,51.52,-0.11,2024-05-16 09:45:00,14.0,88,0.2,4.0,Partly cloudy,3.0,2024,5,May
United States Of America,Washington Park,46.6,-120.49,2024-05-16 01:45:00,16.1,58,0.0,6.8,Clear,1.0,2024,5,May
Uruguay,Montevideo,-34.86,-56.17,2024-05-16 05:45:00,6.0,87,0.0,9.0,Clear,1.0,2024,5,May
Uzbekistan,Tashkent,41.32,69.25,2024-05-16 13:45:00,22.0,73,0.01,15.1,Partly cloudy,5.0,2024,5,May
Vanuatu,Port Vila,-17.73,168.32,2024-05-16 19:45:00,25.0,83,0.02,13.0,Partly cloudy,1.0,2024,5,May
Venezuela,Caracas,10.5,-66.92,2024-05-16 04:45:00,26.0,84,0.05,3.6,Partly cloudy,1.0,2024,5,May
Vietnam,Hanoi,21.03,105.85,2024-05-16 15:45:00,30.0,62,0.03,6.8,Partly cloudy,6.0,2024,5,May
Yemen,Sanaa,15.35,44.21,2024-05-16 11:45:00,25.7,27,0.01,12.6,Patchy rain nearby,6.0,2024,5,May
Zambia,Lusaka,-15.42,28.28,2024-05-16 10:45:00,21.8,46,0.0,14.4,Sunny,7.0,2024,5,May
Zimbabwe,Harare,-17.82,31.04,2024-05-16 10:45:00,20.2,37,0.0,9.7,Sunny,7.0,2024,5,May
Afghanistan,Kabul,34.52,69.18,2024-05-16 18:30:00,22.0,41,0.03,7.2,Patchy rain nearby,5.0,2024,5,May
Albania,Tirana,41.33,19.82,2024-05-16 16:00:00,29.0,45,0.0,6.8,Partly cloudy,6.0,2024,5,May
Algeria,Algiers,36.76,3.05,2024-05-16 15:00:00,25.0,39,0.0,28.1,Partly cloudy,6.0,2024,5,May
Andorra,Andorra La Vella,42.5,1.52,2024-05-16 16:00:00,6.3,76,0.22,10.1,Patchy light rain in area with thunder,2.0,2024,5,May
Angola,Luanda,-8.84,13.23,2024-05-16 15:00:00,32.0,63,0.0,25.9,Sunny,8.0,2024,5,May
Antigua And Barbuda,Saint John's,17.12,-61.85,2024-05-16 10:00:00,29.0,75,0.02,15.1,Partly cloudy,6.0,2024,5,May
Argentina,Buenos Aires,-34.59,-58.67,2024-05-16 11:00:00,11.0,76,0.0,11.2,Sunny,5.0,2024,5,May
Armenia,Yerevan,40.18,44.51,2024-05-16 18:00:00,15.0,77,0.2,4.0,Partly cloudy,4.0,2024,5,May
Australia,Canberra,-35.28,149.22,2024-05-17 00:00:00,5.0,100,0.0,3.6,Clear,1.0,2024,5,May
Austria,Vienna,48.2,16.37,2024-05-16 16:00:00,17.0,72,0.0,25.9,Light rain,4.0,2024,5,May
Azerbaijan,Baku,40.4,49.88,2024-05-16 18:00:00,17.0,59,0.0,19.1,Partly cloudy,5.0,2024,5,May
Bahamas,Nassau,25.08,-77.35,2024-05-16 10:00:00,29.0,79,0.0,25.9,Partly cloudy,7.0,2024,5,May
Bahrain,Manama,26.24,50.58,2024-05-16 17:00:00,36.0,42,0.0,16.9,Sunny,8.0,2024,5,May
Bangladesh,Dhaka,23.72,90.41,2024-05-16 20:00:00,34.2,41,0.0,12.6,Clear,1.0,2024,5,May
Barbados,Bridgetown,13.1,-59.62,2024-05-16 10:00:00,30.0,75,0.02,31.0,Partly cloudy,6.0,2024,5,May
Belarus,Minsk,53.9,27.57,2024-05-16 17:00:00,17.0,34,0.0,6.8,Sunny,5.0,2024,5,May
Belgium,Brussels,50.83,4.33,2024-05-16 16:00:00,17.0,77,0.04,19.1,Partly cloudy,4.0,2024,5,May
Belize,Belmopan,17.25,-88.77,2024-05-16 08:00:00,30.0,79,0.0,13.0,Partly cloudy,7.0,2024,5,May
